month,num_neg,num_pos
2023-06,1,8
2023-07,2,2
2023-08,2,4
2023-09,3,4
2023-10,7,6
2023-11,2,2
2023-12,4,5
2024-01,3,5
2024-02,1,5
2024-03,2,2
2024-05,2,3
2024-06,1,3
2024-07,1,2
2024-08,2,1
2024-09,1,1
2024-11,1,0
2025-02,1,1
