nyt_sentiment,pos_before_mean,pos_before_std,pos_after_mean,pos_after_std,neg_before_mean,neg_before_std,neg_after_mean,neg_after_std
Negative,0.7417161886791043,0.2190659686826093,0.7750863562058324,0.15062617951935164,0.2411331202571612,0.18188596609856544,0.21635508523560906,0.15445518462466873
Positive,0.8333872370661669,0.28820050418946686,0.817221742561109,0.2805147441807421,0.08968968601075625,0.1452058356051116,0.10072697538760886,0.1312338377715665
